시군구,경도,위도,상해정도 정보,상해정도 갯수_x,상해정도 갯수_y
경기도 안성시 구포동,127.273087137,37.011531553,경상: 2<br>중상: 1,2,2
경기도 안성시 금광면,127.317530872,36.997228774,경상: 1<br>중상: 1,4,4
경기도 안성시 금산동,127.270239191,37.011735166,경상: 3,2,2
경기도 안성시 낙원동,127.274523013,37.005363943,부상신고: 1,1,1
경기도 안성시 당왕동,127.257715975,37.014227704,경상: 7<br>부상신고: 2<br>중상: 3,7,7
경기도 안성시 대덕면,127.237878101,37.01242013,경상: 5<br>부상신고: 1<br>사망: 1<br>중상: 1,2,2
경기도 안성시 대천동,127.269125193,37.008656932,경상: 1<br>부상신고: 1<br>중상: 1,5,5
경기도 안성시 동본동,127.271369874,37.00561634,경상: 1,18,18
경기도 안성시 보개면,127.290889329,37.023008952,중상: 1,2,2
경기도 안성시 봉남동,127.275667041,37.005545707,경상: 1<br>중상: 1,6,6
경기도 안성시 삼죽면,127.374825398,37.07303476,경상: 1,43,43
경기도 안성시 석정동,127.263479002,37.008237589,경상: 3<br>부상신고: 1,4,4
경기도 안성시 숭인동,127.274508368,37.009277425,경상: 1,14,14
경기도 안성시 신흥동,127.268218768,37.002599893,중상: 1,1,1
경기도 안성시 아양동,127.263139571,37.00768705,경상: 3,1,1
경기도 안성시 연지동,127.271320203,37.012004658,경상: 1,1,1
경기도 안성시 영동,127.274266353,37.005661207,부상신고: 1,9,9
경기도 안성시 옥산동,127.259380312,37.007605803,중상: 1,2,2
경기도 안성시 원곡면,127.127527494,37.035707326,부상신고: 1,1,1
경기도 안성시 인지동,127.269642408,37.005662907,부상신고: 1<br>중상: 1,5,5
경기도 안성시 일죽면,127.504630788,37.105617211,경상: 1<br>부상신고: 1<br>중상: 1,2,2
경기도 안성시 죽산면,127.422475382,37.078556986,경상: 2,3,3
경기도 안성시 중리동,127.281545697,36.970892837,경상: 1,15,15
경기도 안양시 동안구 관양동,126.960245718,37.398368484,경상: 14<br>부상신고: 1<br>중상: 7,5,5
경기도 안양시 동안구 비산동,126.951334333,37.394616145,경상: 9<br>부상신고: 1<br>중상: 6,5,5
경기도 안양시 동안구 평촌동,126.966864104,37.385472304,경상: 15<br>부상신고: 2<br>중상: 5,1,1
경기도 안양시 동안구 호계동,126.955156485,37.385635514,경상: 23<br>부상신고: 2<br>중상: 6,15,15
경기도 안양시 만안구 박달동,126.911908053,37.406292999,경상: 10<br>중상: 2,2,2
경기도 안양시 만안구 석수동,126.9093381,37.417629471,경상: 6<br>중상: 4,3,3
경기도 안양시 만안구 안양동,126.918466228,37.396115398,경상: 15<br>부상신고: 2<br>중상: 12,12,12
경기도 양주시 고암동,127.074255921,37.832111062,경상: 3<br>중상: 4,3,3
경기도 양주시 고읍동,127.08160231,37.804735664,경상: 3<br>부상신고: 1,3,3
경기도 양주시 광사동,127.080172302,37.791309945,경상: 5<br>중상: 3,2,2
경기도 양주시 광적면,126.985378482,37.824152444,경상: 6<br>중상: 1,2,2
경기도 양주시 남면,126.98060689,37.881645252,중상: 1,9,9
경기도 양주시 덕계동,127.061323004,37.811379233,경상: 9<br>부상신고: 1<br>사망: 1<br>중상: 1,1,1
경기도 양주시 덕정동,127.066736317,37.845486677,경상: 6<br>부상신고: 1<br>중상: 3,4,4
경기도 양주시 마전동,127.049330771,37.775356304,경상: 1,3,3
경기도 양주시 만송동,127.085408417,37.80239217,부상신고: 1,1,1
경기도 양주시 백석읍,126.999564627,37.799743908,경상: 10<br>부상신고: 1<br>중상: 2,23,23
경기도 양주시 삼숭동,127.089176955,37.800493999,경상: 8<br>중상: 1,5,5
경기도 양주시 옥정동,127.096501779,37.817674033,경상: 10<br>부상신고: 1<br>사망: 1<br>중상: 6,8,8
경기도 양주시 장흥면,126.950288747,37.747055745,중상: 1,3,3
경기도 양주시 회정동,127.051226197,37.829683229,경상: 2,19,19
경기도 양평군 강상면,127.467486042,37.489388816,중상: 1,1,1
경기도 양평군 개군면,127.542255253,37.428215532,경상: 1,5,5
경기도 양평군 단월면,127.665300336,37.554919248,부상신고: 1<br>중상: 1,19,19
경기도 양평군 서종면,127.35458907,37.626364729,경상: 1<br>중상: 3,2,2
경기도 양평군 양서면,127.326506482,37.543315073,경상: 1,20,20
경기도 양평군 양평읍,127.471664306,37.503393093,경상: 11<br>부상신고: 2<br>중상: 5,3,3
경기도 양평군 옥천면,127.437534563,37.511708649,부상신고: 1,2,2
경기도 양평군 용문면,127.62009287,37.499893058,경상: 2<br>부상신고: 1<br>중상: 4,14,14
경기도 여주시 가남읍,127.545140688,37.20179825,경상: 1<br>중상: 2,1,1
경기도 여주시 교동,127.626881359,37.282201867,중상: 1,5,5
경기도 여주시 대신면,127.586563674,37.375062178,중상: 1,2,2
경기도 여주시 북내면,127.678947991,37.32934211,경상: 1<br>중상: 1,1,1
경기도 여주시 상동,127.639483457,37.294551197,경상: 3,2,2
경기도 여주시 연양동,127.666411908,37.293416902,경상: 1<br>중상: 1,2,2
경기도 여주시 오학동,127.644325292,37.309709934,부상신고: 1<br>중상: 2,1,1
경기도 여주시 월송동,127.624064614,37.291928768,중상: 1,8,8
경기도 여주시 점봉동,127.638085232,37.260931895,사망: 1,1,1
경기도 여주시 창동,127.635851536,37.294510357,경상: 1,5,5
경기도 여주시 천송동,127.652404207,37.301405311,경상: 1,14,14
경기도 여주시 하동,127.627406422,37.301303569,경상: 3<br>중상: 3,3,3
경기도 여주시 현암동,127.639915048,37.304511761,중상: 1,2,2
경기도 여주시 홍문동,127.637324697,37.298318067,경상: 2<br>중상: 1,5,5
경기도 연천군 연천읍,127.075220758,38.096498766,경상: 1,3,3
경기도 연천군 전곡읍,127.06373345,38.028017418,경상: 3<br>사망: 1<br>중상: 9,16,16
경기도 오산시 가수동,127.052984272,37.14566342,경상: 1<br>중상: 1,1,1
경기도 오산시 갈곶동,127.069034036,37.128690314,부상신고: 4,5,5
경기도 오산시 고현동,127.080165423,37.135539205,경상: 1<br>부상신고: 1<br>중상: 2,22,22
경기도 오산시 궐동,127.065068188,37.157576479,경상: 4<br>부상신고: 2<br>중상: 2,2,2
경기도 오산시 금암동,127.054569681,37.176645589,경상: 12<br>부상신고: 3<br>중상: 5,12,12
경기도 오산시 내삼미동,127.061445369,37.186131532,경상: 3<br>부상신고: 3<br>중상: 1,3,3
경기도 오산시 누읍동,127.048772975,37.141433482,경상: 1<br>중상: 2,53,53
경기도 오산시 벌음동,127.037064087,37.136330216,경상: 1<br>중상: 1,10,10
경기도 오산시 부산동,127.09101912,37.14808266,경상: 2<br>중상: 2,16,16
경기도 오산시 서동,127.039366716,37.149369924,경상: 1,9,9
경기도 오산시 세교동,127.044526917,37.193685393,경상: 3<br>부상신고: 3<br>중상: 1,3,3
경기도 오산시 수청동,127.06686409,37.169780934,경상: 6<br>부상신고: 2<br>중상: 2,7,7
경기도 오산시 오산동,127.068208296,37.151365483,경상: 15<br>부상신고: 1<br>중상: 8,4,4
경기도 오산시 외삼미동,127.049013417,37.18461137,경상: 2,3,3
경기도 오산시 원동,127.072802388,37.131752891,경상: 20<br>부상신고: 2<br>중상: 5,1,1
경기도 오산시 은계동,127.070273858,37.158786407,경상: 1<br>부상신고: 3,4,4
경기도 오산시 청호동,127.084106029,37.132159597,경상: 1,2,2
경기도 용인시 기흥구 고매동,127.110321585,37.229568944,경상: 2,3,3
경기도 용인시 기흥구 공세동,127.107170046,37.236095729,경상: 3<br>부상신고: 4<br>중상: 1,3,3
경기도 용인시 기흥구 구갈동,127.127536302,37.272413697,경상: 8<br>부상신고: 2<br>중상: 2,1,1
경기도 용인시 기흥구 동백동,127.153874501,37.279635669,경상: 9<br>부상신고: 1<br>중상: 4,2,2
경기도 용인시 기흥구 마북동,127.117418067,37.301651744,경상: 4<br>부상신고: 1<br>중상: 3,10,10
경기도 용인시 기흥구 보라동,127.124792902,37.264833701,경상: 14<br>부상신고: 1<br>중상: 2,6,6
경기도 용인시 기흥구 보정동,127.111096525,37.308134721,경상: 7<br>부상신고: 3<br>상해없음: 1<br>중상: 2,7,7
경기도 용인시 기흥구 상갈동,127.106214473,37.267190285,경상: 2<br>부상신고: 1,18,18
경기도 용인시 기흥구 상하동,127.149900171,37.255043627,경상: 7<br>중상: 1,3,3
경기도 용인시 기흥구 서천동,127.073345043,37.246779304,경상: 5<br>부상신고: 1<br>중상: 3,1,1
경기도 용인시 기흥구 신갈동,127.110288839,37.283281362,경상: 9<br>부상신고: 1,7,7
경기도 용인시 기흥구 언남동,127.11898126,37.296764416,경상: 3<br>부상신고: 2<br>중상: 2,13,13
경기도 용인시 기흥구 영덕동,127.074519029,37.277834681,경상: 10<br>부상신고: 2<br>중상: 1,4,4
경기도 용인시 기흥구 중동,127.148951607,37.266316064,경상: 8<br>부상신고: 2<br>중상: 8,4,4
경기도 용인시 기흥구 청덕동,127.154490765,37.29924151,부상신고: 1,9,9
경기도 용인시 수지구 고기동,127.065698679,37.359136784,중상: 1,3,3
경기도 용인시 수지구 동천동,127.080471749,37.338716311,경상: 10<br>중상: 2,4,4
경기도 용인시 수지구 상현동,127.091650025,37.311150514,경상: 9<br>부상신고: 5<br>중상: 8,1,1
경기도 용인시 수지구 성복동,127.059793176,37.324705258,경상: 5,1,1
경기도 용인시 수지구 신봉동,127.073410076,37.324734351,경상: 3<br>중상: 2,9,9
경기도 용인시 수지구 죽전동,127.114909737,37.325777621,경상: 9<br>부상신고: 3<br>중상: 4,1,1
경기도 용인시 수지구 풍덕천동,127.085941296,37.330061265,경상: 8<br>부상신고: 1<br>중상: 3,7,7
경기도 용인시 처인구 고림동,127.222018565,37.260952294,경상: 7<br>부상신고: 1<br>중상: 2,11,11
경기도 용인시 처인구 김량장동,127.197465674,37.236058627,경상: 5<br>부상신고: 2<br>중상: 3,4,4
경기도 용인시 처인구 남사면,0.0,0.0,경상: 1,1,1
경기도 용인시 처인구 남사읍,127.151346735,37.099284641,경상: 2,3,3
경기도 용인시 처인구 마평동,127.216804275,37.233612976,경상: 3<br>부상신고: 1<br>중상: 1,1,1
경기도 용인시 처인구 모현읍,127.242345723,37.329416064,경상: 11<br>부상신고: 3<br>중상: 5,3,3
경기도 용인시 처인구 백암면,127.375370462,37.163417969,경상: 2<br>부상신고: 1<br>중상: 1,1,1
경기도 용인시 처인구 삼가동,127.164683171,37.241186266,경상: 2,1,1
경기도 용인시 처인구 양지면,127.28583604,37.236616437,경상: 4<br>중상: 2,1,1
경기도 용인시 처인구 역북동,127.185206665,37.239381892,경상: 14<br>부상신고: 2<br>중상: 2,3,3
경기도 용인시 처인구 원삼면,127.313286208,37.166568479,경상: 1<br>중상: 1,1,1
경기도 용인시 처인구 유방동,127.211740313,37.252437157,경상: 2<br>중상: 2,9,9
경기도 용인시 처인구 이동읍,127.196198414,37.141116768,경상: 4<br>부상신고: 1<br>중상: 6,1,1
경기도 용인시 처인구 포곡읍,127.245309903,37.276336946,경상: 9<br>부상신고: 1<br>중상: 2,6,6
경기도 의왕시 내손동,126.981510854,37.387439759,경상: 11<br>부상신고: 2<br>중상: 1,10,10
경기도 의왕시 삼동,126.95800261,37.327715214,경상: 7<br>중상: 4,5,5
경기도 의왕시 오전동,126.971556405,37.353604495,경상: 9<br>부상신고: 4<br>중상: 2,3,3
경기도 의왕시 왕곡동,126.987301137,37.345205701,경상: 1<br>중상: 1,1,1
경기도 의왕시 월암동,126.959664342,37.306477806,중상: 1,18,18
경기도 의왕시 청계동,126.993013251,37.390431207,부상신고: 2<br>사망: 1,4,4
경기도 의왕시 포일동,126.986160386,37.395298475,경상: 2<br>중상: 1,4,4
경기도 의왕시 학의동,127.017421611,37.386593527,중상: 1,23,23
경기도 의정부시 가능동,127.036351853,37.747274023,경상: 22<br>부상신고: 7<br>중상: 3,5,5
경기도 의정부시 금오동,127.068555862,37.753686755,경상: 8<br>부상신고: 3<br>중상: 5,10,10
경기도 의정부시 낙양동,127.113266243,37.764667904,경상: 6<br>부상신고: 1<br>중상: 2,2,2
경기도 의정부시 녹양동,127.032487051,37.756216818,경상: 6<br>중상: 7,3,3
경기도 의정부시 민락동,127.116078973,37.747976646,경상: 19<br>부상신고: 5<br>중상: 11,1,1
경기도 의정부시 산곡동,127.106349604,37.708734492,부상신고: 1,3,3
경기도 의정부시 신곡동,127.064418946,37.728701279,경상: 10<br>부상신고: 6<br>중상: 6,5,5
경기도 의정부시 용현동,127.084504078,37.73015823,경상: 6<br>부상신고: 3<br>중상: 6,20,20
경기도 의정부시 의정부동,127.036558751,37.737085841,경상: 17<br>부상신고: 6<br>중상: 6,4,4
경기도 의정부시 장암동,127.054636258,37.698272828,경상: 3<br>부상신고: 1<br>중상: 3,6,6
경기도 의정부시 호원동,127.046711549,37.707935281,경상: 18<br>부상신고: 5<br>중상: 8,8,8
경기도 이천시 갈산동,127.455769112,37.283360903,경상: 3<br>부상신고: 1<br>중상: 2,2,2
경기도 이천시 관고동,127.437882338,37.282380428,경상: 1<br>부상신고: 1<br>중상: 1,4,4
경기도 이천시 단월동,127.450025773,37.227453931,부상신고: 1,1,1
경기도 이천시 대월면,127.490767109,37.226088596,경상: 1<br>중상: 1,1,1
경기도 이천시 마장면,127.357969239,37.248970238,경상: 5<br>부상신고: 1<br>중상: 1,8,8
경기도 이천시 백사면,127.49072519,37.339078162,경상: 1<br>중상: 1,1,1
경기도 이천시 부발읍,127.486896931,37.283652267,경상: 6<br>부상신고: 1<br>사망: 1<br>중상: 4,1,1
경기도 이천시 사음동,127.425207382,37.290669277,경상: 1,2,2
경기도 이천시 송정동,127.432334822,37.296937688,경상: 3<br>중상: 2,2,2
경기도 이천시 신둔면,127.404071163,37.306244049,중상: 1,1,1
경기도 이천시 안흥동,127.454526909,37.274899157,경상: 2<br>중상: 1,2,2
경기도 이천시 장호원읍,127.616840936,37.1148618,경상: 7<br>부상신고: 1<br>중상: 3,6,6
경기도 이천시 중리동,127.433281567,37.273855362,경상: 3<br>중상: 3,1,1
경기도 이천시 증포동,127.457332691,37.297233383,경상: 12<br>부상신고: 1<br>중상: 5,4,4
경기도 이천시 창전동,127.441140695,37.282874856,경상: 17<br>부상신고: 5<br>중상: 2,6,6
경기도 이천시 호법면,127.425032257,37.223156231,경상: 1,1,1
경기도 파주시 검산동,126.738732462,37.77502423,부상신고: 1,1,1
경기도 파주시 광탄면,126.898481484,37.803036121,경상: 3<br>중상: 1,6,6
경기도 파주시 금릉동,126.780402138,37.753640693,경상: 1<br>중상: 3,4,4
경기도 파주시 금촌동,126.776508368,37.754324926,경상: 24<br>부상신고: 4<br>중상: 10,8,8
경기도 파주시 다율동,126.717543807,37.73684475,경상: 3<br>중상: 3,2,2
경기도 파주시 당하동,126.758130599,37.740970679,경상: 1<br>부상신고: 1,28,28
경기도 파주시 동패동,126.74740252,37.705643299,경상: 15<br>부상신고: 4<br>중상: 5,5,5
경기도 파주시 맥금동,126.726935433,37.797877109,경상: 1,10,10
경기도 파주시 목동동,126.744097036,37.720565171,경상: 11<br>부상신고: 1<br>중상: 8,10,10
경기도 파주시 문발동,126.685927816,37.712307137,경상: 6,4,4
경기도 파주시 문산읍,126.779242321,37.857375577,경상: 20<br>부상신고: 5<br>중상: 4,6,6
경기도 파주시 법원읍,126.860050637,37.861029661,경상: 3<br>중상: 3,2,2
경기도 파주시 아동동,126.780254746,37.765868799,경상: 3<br>부상신고: 2<br>중상: 2,1,1
경기도 파주시 야당동,126.759666545,37.703442319,경상: 16<br>부상신고: 3<br>중상: 9,1,1
경기도 파주시 야동동,126.768485591,37.77902845,부상신고: 1,5,5
경기도 파주시 와동,126.760076402,37.738746954,경상: 4<br>중상: 7,1,1
경기도 파주시 와동동,126.760076402,37.738746954,부상신고: 3,4,4
경기도 파주시 월롱면,126.790261283,37.795982374,경상: 1<br>중상: 2,25,25
경기도 파주시 적성면,126.902885214,37.970281097,경상: 1<br>중상: 3,2,2
경기도 파주시 조리읍,126.807917134,37.74205049,경상: 7<br>부상신고: 2<br>중상: 3,7,7
경기도 파주시 탄현면,126.700003803,37.785499821,경상: 2<br>부상신고: 1<br>중상: 1,7,7
경기도 파주시 파주읍,126.819981474,37.830750041,경상: 4<br>부상신고: 1<br>중상: 3,2,2
경기도 평택시 가재동,127.094845159,37.044405445,경상: 1,13,13
경기도 평택시 고덕면,127.03060658,37.016841201,경상: 3<br>부상신고: 1<br>중상: 2,5,5
경기도 평택시 군문동,127.084314695,36.985719813,경상: 1,9,9
경기도 평택시 독곡동,127.073383633,37.084527875,경상: 4<br>부상신고: 1<br>중상: 2,2,2
경기도 평택시 동삭동,127.096510171,37.007874378,경상: 10<br>부상신고: 3,9,9
경기도 평택시 비전동,127.11212006,37.000248091,경상: 37<br>부상신고: 8<br>중상: 11,7,7
경기도 평택시 서정동,127.053367182,37.070669567,경상: 26<br>부상신고: 1<br>중상: 7,4,4
경기도 평택시 세교동,127.091149971,37.010384135,경상: 7<br>부상신고: 2<br>중상: 2,6,6
경기도 평택시 신장동,127.046009147,37.085671515,경상: 6<br>부상신고: 2<br>중상: 3,22,22
경기도 평택시 안중읍,126.929099793,36.985029554,경상: 22<br>부상신고: 2<br>중상: 6,6,6
경기도 평택시 오성면,126.984045126,37.007169499,경상: 3<br>중상: 3,3,3
경기도 평택시 용이동,127.134654601,37.000297276,경상: 12<br>부상신고: 3<br>중상: 4,12,12
경기도 평택시 이충동,127.074935065,37.062591494,경상: 9<br>부상신고: 4<br>중상: 8,1,1
경기도 평택시 장당동,127.054247158,37.053048053,경상: 2<br>중상: 1,1,1
경기도 평택시 장안동,127.081802797,37.058719732,경상: 1<br>부상신고: 1,9,9
경기도 평택시 죽백동,127.118311145,37.017434349,경상: 1<br>부상신고: 1,4,4
경기도 평택시 지산동,127.056737651,37.077912339,경상: 12<br>부상신고: 1<br>중상: 8,1,1
경기도 평택시 진위면,127.10560853,37.086911094,경상: 2<br>부상신고: 1<br>중상: 2,2,2
경기도 평택시 청북읍,126.934287607,37.039826303,경상: 9<br>부상신고: 1<br>사망: 1<br>중상: 5,5,5
경기도 평택시 칠원동,127.112258956,37.024957278,경상: 1,3,3
경기도 평택시 통복동,127.08049637,36.989266687,경상: 1<br>중상: 1,3,3
경기도 평택시 팽성읍,127.09375222,36.964623914,경상: 13<br>부상신고: 3<br>중상: 6,10,10
경기도 평택시 평택동,127.079919271,36.988142464,경상: 2<br>부상신고: 1<br>중상: 2,2,2
경기도 평택시 포승읍,126.874668823,36.979264592,경상: 5<br>부상신고: 2<br>중상: 4,8,8
경기도 평택시 합정동,127.111390728,36.981428399,경상: 7<br>중상: 2,2,2
경기도 포천시 가산면,127.186464802,37.848712037,경상: 1,3,3
경기도 포천시 군내면,127.217534036,37.889016278,경상: 1<br>중상: 1,6,6
경기도 포천시 선단동,127.158676834,37.857981694,경상: 2<br>중상: 2,2,2
경기도 포천시 소흘읍,127.132476085,37.817387781,경상: 16<br>부상신고: 3<br>중상: 6,1,1
경기도 포천시 신북면,127.148871938,37.958657777,경상: 1<br>부상신고: 1,16,16
경기도 포천시 신읍동,127.200383738,37.894975746,경상: 4<br>부상신고: 1<br>중상: 4,7,7
경기도 포천시 어룡동,127.192172674,37.8823659,경상: 1,1,1
경기도 포천시 영북면,127.275542327,38.089154543,경상: 2<br>중상: 1,1,1
경기도 포천시 이동면,127.367594194,38.030684867,경상: 2<br>중상: 4,6,6
경기도 포천시 일동면,127.317285624,37.961274119,경상: 1<br>부상신고: 1<br>중상: 1,40,40
경기도 하남시 감이동,127.158819253,37.491148266,경상: 1<br>부상신고: 2,9,9
경기도 하남시 감일동,127.151732583,37.50941357,경상: 1,14,14
경기도 하남시 덕풍동,127.197255371,37.539850104,경상: 15<br>부상신고: 5<br>사망: 1<br>중상: 4,15,15
경기도 하남시 망월동,127.185541004,37.56763859,경상: 21<br>부상신고: 7<br>중상: 2,1,1
경기도 하남시 미사동,127.20165262,37.571416293,경상: 1<br>부상신고: 1<br>중상: 1,8,8
경기도 하남시 선동,127.184264665,37.574517865,경상: 1<br>부상신고: 2,11,11
경기도 하남시 신장동,127.206600019,37.537108613,경상: 20<br>부상신고: 1<br>중상: 4,5,5
경기도 하남시 창우동,127.226309093,37.528303821,경상: 3<br>중상: 1,1,1
경기도 하남시 풍산동,127.18688334,37.555083846,경상: 5<br>부상신고: 2<br>중상: 1,2,2
경기도 하남시 하산곡동,127.224922068,37.522202484,경상: 1,6,6
경기도 하남시 학암동,127.148350709,37.48216723,경상: 3<br>중상: 1,6,6
경기도 화성시 기산동,127.045848106,37.219095293,경상: 1<br>중상: 2,1,1
경기도 화성시 기안동,126.986482864,37.225271669,경상: 3,2,2
경기도 화성시 남양읍,126.829935936,37.200194574,경상: 8<br>부상신고: 2<br>중상: 7,1,1
경기도 화성시 능동,127.058735385,37.2099532,경상: 13<br>부상신고: 1<br>중상: 4,1,1
경기도 화성시 동탄면,0.0,0.0,경상: 2<br>중상: 2,2,2
경기도 화성시 마도면,126.741507895,37.19198064,경상: 1,1,1
경기도 화성시 매송면,126.909102865,37.25235077,경상: 1<br>부상신고: 1,1,1
경기도 화성시 목동,127.113669437,37.180097694,경상: 6<br>부상신고: 1<br>중상: 4,7,7
경기도 화성시 반송동,127.071935144,37.206467036,경상: 33<br>부상신고: 9<br>중상: 13,4,4
경기도 화성시 반월동,127.060591038,37.233138661,경상: 6<br>부상신고: 2<br>중상: 1,3,3
경기도 화성시 병점동,127.033157131,37.202969029,경상: 14<br>부상신고: 10<br>중상: 7,9,9
경기도 화성시 봉담읍,126.949516599,37.220064867,경상: 28<br>부상신고: 1<br>중상: 4,3,3
경기도 화성시 비봉면,126.881698073,37.199779547,경상: 1,4,4
경기도 화성시 산척동,127.110058635,37.170455935,경상: 17<br>부상신고: 2<br>중상: 4,1,1
경기도 화성시 새솔동,0.0,0.0,경상: 2<br>중상: 3,2,2
경기도 화성시 서신면,126.708770927,37.16658927,경상: 5<br>중상: 1,2,2
경기도 화성시 석우동,127.075494997,37.205368405,경상: 2<br>부상신고: 1<br>중상: 1,22,22
경기도 화성시 송동,127.098318318,37.165922833,경상: 3<br>중상: 2,2,2
경기도 화성시 송산동,127.015699338,37.205707218,경상: 2,2,2
경기도 화성시 송산면,126.739176039,37.21787561,경상: 12<br>중상: 1,7,7
경기도 화성시 안녕동,127.014292204,37.205456952,경상: 2<br>중상: 1,1,1
경기도 화성시 양감면,126.944452712,37.081344908,중상: 1,4,4
경기도 화성시 영천동,127.091766169,37.21508708,경상: 9<br>부상신고: 2<br>중상: 7,1,1
경기도 화성시 오산동,127.085114583,37.195027161,경상: 11<br>부상신고: 2<br>중상: 1,1,1
경기도 화성시 우정읍,126.815384141,37.089783798,경상: 3<br>부상신고: 1<br>중상: 3,1,1
경기도 화성시 장안면,126.831323684,37.079821473,경상: 1<br>중상: 1,7,7
경기도 화성시 장지동,127.094582903,37.159117911,경상: 3<br>중상: 3,4,4
경기도 화성시 정남면,126.971088862,37.160244723,경상: 1<br>중상: 1,15,15
경기도 화성시 진안동,127.035910869,37.208782197,경상: 9<br>부상신고: 2<br>중상: 1,2,2
경기도 화성시 청계동,127.100022951,37.193392648,경상: 13<br>부상신고: 1<br>중상: 5,1,1
경기도 화성시 팔탄면,126.85951885,37.131932312,경상: 3,2,2
경기도 화성시 향남읍,126.919422641,37.130489634,경상: 37<br>부상신고: 4<br>사망: 1<br>중상: 12,1,1
서울특별시 강남구 개포동,127.053045813,37.480897516,경상: 10<br>부상신고: 5<br>중상: 2,1,1
서울특별시 강남구 논현동,127.025582227,37.505859315,경상: 8<br>부상신고: 3<br>중상: 1,6,6
서울특별시 강남구 대치동,127.050671792,37.501990841,경상: 45<br>부상신고: 12<br>상해없음: 1<br>중상: 14,1,1
서울특별시 강남구 도곡동,127.043588574,37.48550524,경상: 7<br>부상신고: 1<br>중상: 2,3,3
서울특별시 강남구 삼성동,127.051252663,37.512731458,경상: 6<br>중상: 2,1,1
서울특별시 강남구 세곡동,127.099727739,37.466399182,경상: 7<br>사망: 1<br>중상: 2,3,3
서울특별시 강남구 수서동,127.105043284,37.488701857,경상: 5<br>부상신고: 2<br>중상: 2,1,1
서울특별시 강남구 신사동,127.029571607,37.522238454,경상: 6,8,8
서울특별시 강남구 압구정동,127.029571607,37.522238454,경상: 1<br>부상신고: 1<br>사망: 1<br>중상: 3,2,2
서울특별시 강남구 역삼동,127.034244012,37.490804994,경상: 14<br>부상신고: 5<br>중상: 4,2,2
서울특별시 강남구 율현동,127.108964117,37.47207274,경상: 3<br>부상신고: 1,1,1
서울특별시 강남구 일원동,127.084688364,37.49394602,경상: 8<br>중상: 6,20,20
서울특별시 강남구 자곡동,127.099585268,37.473951884,경상: 7<br>부상신고: 2<br>중상: 1,3,3
서울특별시 강남구 청담동,127.052258374,37.52299038,경상: 8<br>부상신고: 1<br>사망: 1<br>중상: 4,1,1
서울특별시 강동구 강일동,127.172260971,37.565957103,경상: 2<br>부상신고: 1<br>중상: 4,6,6
서울특별시 강동구 고덕동,127.145428079,37.556454548,경상: 15<br>부상신고: 2<br>중상: 6,1,1
